nyko,average,minimum,maximum,sum
11,29.00,0.10,1480.00,6905321.11
12,25.62,0.50,2300.00,3933117.34
13,28.19,0.20,2660.00,8728956.17
14,24.87,0.10,1340.00,4059951.18
15,25.91,0.40,1280.00,7647322.79
16,37.77,0.50,1600.00,8469473.94
21,17.18,0.33,540.00,3214706.16
22,17.03,0.50,313.00,585969.77
23,13.57,0.50,164.50,801638.74
31,15.53,0.50,147.50,463028.39
32,13.21,0.50,127.50,650431.86
41,29.67,0.50,297.00,1591618.30
42,14.04,0.50,1015.00,521584.58
43,28.67,0.33,8560.00,2085892.47
44,14.60,0.50,188.50,525832.09
45,17.22,0.50,237.00,1441219.96
46,17.14,0.50,208.50,736493.44
47,15.23,0.30,239.00,486612.11
51,12.62,0.50,236.00,507862.95
52,13.85,0.33,193.00,569900.70
61,19.88,0.20,2390.00,2571782.38
62,15.02,0.33,559.00,411647.27
63,12.52,0.50,556.00,361872.06
64,13.49,0.33,194.00,1024027.56
71,15.37,0.33,737.00,773388.20
72,11.74,0.30,558.00,170206.29
73,13.07,0.50,192.00,258880.58
74,14.54,0.50,139.00,162337.14
81,15.88,0.50,204.50,560055.25
82,19.02,0.50,168.00,259102.30
83,14.88,0.33,215.00,232535.07
84,12.87,0.33,130.50,239587.00
85,12.35,0.30,123.50,175137.95